lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.0004,2022-12-07 21:59:42.031794,,,,,,,,,,,,,,
,2022-12-07 21:59:43.019693,0.4688486158847809,0.019573107361793518,0.4688486158847809,4899.0,0.0,,,,,,,,,
0.0004,2022-12-07 22:00:31.432527,,,,,,,,,,,,,,
,2022-12-07 22:00:32.417157,0.20316079258918762,0.0014607375487685204,0.20316079258918762,4949.0,0.0,,,,,,,,,
0.0004,2022-12-07 22:01:20.793482,,,,,,,,,,,,,,
,2022-12-07 22:01:22.473759,0.2082924097776413,0.0009422921575605869,0.2082924097776413,4999.0,0.0,,,,,,,,,
0.0004,2022-12-07 22:04:33.684740,,,,,,,,,,,,,,
,2022-12-07 22:04:34.671883,0.15246790647506714,0.0006175076123327017,0.15246790647506714,5049.0,0.0,,,,,,,,,
0.0004,2022-12-07 22:05:23.049821,,,,,,,,,,,,,,
,2022-12-07 22:05:24.031496,0.1337372362613678,0.000502206792589277,0.1337372362613678,5099.0,0.0,,,,,,,,,
0.0004,2022-12-07 22:06:12.353269,,,,,,,,,,,,,,
,2022-12-07 22:06:13.338129,0.0925089418888092,0.0003402422880753875,0.0925089418888092,5149.0,0.0,,,,,,,,,
0.0004,2022-12-07 22:07:01.631352,,,,,,,,,,,,,,
,2022-12-07 22:07:02.615464,0.24140290915966034,0.0020540980622172356,0.24140290915966034,5199.0,0.0,,,,,,,,,
0.0004,2022-12-07 22:07:50.921033,,,,,,,,,,,,,,
,2022-12-07 22:07:51.904220,0.07947783917188644,0.0003707293071784079,0.07947783917188644,5249.0,0.0,,,,,,,,,
0.0004,2022-12-07 22:08:40.217389,,,,,,,,,,,,,,
,2022-12-07 22:08:41.197281,0.05208931118249893,0.00020068595767952502,0.05208931118249893,5299.0,0.0,,,,,,,,,
0.0004,2022-12-07 22:09:29.543807,,,,,,,,,,,,,,
,2022-12-07 22:09:30.532852,0.12090480327606201,0.0005203456967137754,0.12090480327606201,5349.0,0.0,,,,,,,,,
0.0004,2022-12-07 22:10:18.875727,,,,,,,,,,,,,,
,2022-12-07 22:10:19.855999,0.19735455513000488,0.0035492279566824436,0.19735455513000488,5399.0,0.0,,,,,,,,,
0.0004,2022-12-07 22:11:08.185992,,,,,,,,,,,,,,
,2022-12-07 22:11:09.168202,0.32428085803985596,0.0028636902570724487,0.32428085803985596,5449.0,0.0,,,,,,,,,
,2022-12-07 22:12:43.925006,,,,,0.0,0.1863865703344345,0.0033781384117901325,0.1863865703344345,0.20302729308605194,0.006365232169628143,0.20302729308605194,,,
,2022-12-07 22:12:43.935394,,,,,0.0,,,,,,,0.18194562196731567,0.0032099978998303413,0.18194562196731567
0.0004,2022-12-07 22:13:07.747714,,,,,,,,,,,,,,
,2022-12-07 22:13:10.119045,0.31525036692619324,0.0016061477363109589,0.31525036692619324,5499.0,1.0,,,,,,,,,
0.0004,2022-12-07 22:16:21.168989,,,,,,,,,,,,,,
,2022-12-07 22:16:22.159573,0.14787371456623077,0.0006116804433986545,0.14787371456623077,5549.0,1.0,,,,,,,,,
0.0004,2022-12-07 22:17:10.594968,,,,,,,,,,,,,,
,2022-12-07 22:17:11.584338,0.153609037399292,0.0005149580538272858,0.153609037399292,5599.0,1.0,,,,,,,,,
0.0004,2022-12-07 22:18:00.020510,,,,,,,,,,,,,,
,2022-12-07 22:18:01.010951,0.312945157289505,0.0014689024537801743,0.312945157289505,5649.0,1.0,,,,,,,,,
0.0004,2022-12-07 22:18:49.408596,,,,,,,,,,,,,,
,2022-12-07 22:18:50.397845,0.21073377132415771,0.0007183562265709043,0.21073377132415771,5699.0,1.0,,,,,,,,,
0.0004,2022-12-07 22:19:38.850921,,,,,,,,,,,,,,
,2022-12-07 22:19:39.837089,0.2098585069179535,0.0007345093763433397,0.2098585069179535,5749.0,1.0,,,,,,,,,
0.0004,2022-12-07 22:20:28.287791,,,,,,,,,,,,,,
,2022-12-07 22:20:29.273238,0.14997552335262299,0.0008584253373555839,0.14997552335262299,5799.0,1.0,,,,,,,,,
0.0004,2022-12-07 22:21:17.683344,,,,,,,,,,,,,,
,2022-12-07 22:21:18.668688,0.09720560163259506,0.00046412102528847754,0.09720560163259506,5849.0,1.0,,,,,,,,,
0.0004,2022-12-07 22:22:07.084902,,,,,,,,,,,,,,
,2022-12-07 22:22:08.071585,0.2830924689769745,0.0034720455296337605,0.2830924689769745,5899.0,1.0,,,,,,,,,
0.0004,2022-12-07 22:22:56.462338,,,,,,,,,,,,,,
,2022-12-07 22:22:57.449231,0.1387496292591095,0.0006253021419979632,0.1387496292591095,5949.0,1.0,,,,,,,,,
0.0004,2022-12-07 22:23:45.870670,,,,,,,,,,,,,,
